case,category,detail
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-career-match-count,"Elliot Vance: 185 matches, 222 wins, 182 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-season-match-count,"Elliot Vance: {""season"":""2051/52"",""worldRank"":65,""oneYearRank"":62,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":16,""losses"":9,""prizeMoney"":51000,""rankingPoints"":51000,""titles"":0,""proWins"":16,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Bubble"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-career-match-count,"Elliot Vance: 189 matches, 232 wins, 186 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-season-match-count,"Elliot Vance: {""season"":""2052/53"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":186,""qTourRank"":169,""qSchoolRank"":5,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":10,""losses"":4,""prizeMoney"":0,""rankingPoints"":1274,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-career-match-count,"Elliot Vance: 200 matches, 250 wins, 196 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-season-match-count,"Elliot Vance: {""season"":""2053/54"",""worldRank"":87,""oneYearRank"":60,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":18,""losses"":10,""prizeMoney"":51500,""rankingPoints"":51500,""titles"":0,""proWins"":18,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-career-match-count,"Elliot Vance: 211 matches, 260 wins, 207 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-season-match-count,"Elliot Vance: {""season"":""2054/55"",""worldRank"":76,""oneYearRank"":91,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":10,""losses"":11,""prizeMoney"":33350,""rankingPoints"":28100,""titles"":0,""proWins"":10,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Bubble"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-career-match-count,"Elliot Vance: 215 matches, 276 wins, 210 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-season-match-count,"Elliot Vance: {""season"":""2055/56"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":4,""qTourRank"":116,""qSchoolRank"":213,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":16,""losses"":3,""prizeMoney"":0,""rankingPoints"":3914,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-career-match-count,"Elliot Vance: 226 matches, 291 wins, 218 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-season-match-count,"Elliot Vance: {""season"":""2056/57"",""worldRank"":103,""oneYearRank"":79,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":15,""losses"":8,""prizeMoney"":40500,""rankingPoints"":40500,""titles"":0,""proWins"":15,""proLosses"":8,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-career-match-count,"Elliot Vance: 238 matches, 309 wins, 226 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-season-match-count,"Elliot Vance: {""season"":""2057/58"",""worldRank"":36,""oneYearRank"":17,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":12,""wins"":18,""losses"":8,""prizeMoney"":195200,""rankingPoints"":181950,""titles"":1,""proWins"":18,""proLosses"":8,""mainTourEvents"":12,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""At Risk"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-career-match-count,"Elliot Vance: 250 matches, 323 wins, 238 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-season-match-count,"Elliot Vance: {""season"":""2058/59"",""worldRank"":35,""oneYearRank"":54,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":12,""wins"":14,""losses"":12,""prizeMoney"":77500,""rankingPoints"":70500,""titles"":0,""proWins"":12,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2059-60.json,extended-career-match-count,"Elliot Vance: 262 matches, 336 wins, 248 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2059-60.json,extended-season-match-count,"Elliot Vance: {""season"":""2059/60"",""worldRank"":59,""oneYearRank"":67,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":12,""wins"":13,""losses"":10,""prizeMoney"":64100,""rankingPoints"":47350,""titles"":0,""proWins"":12,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2060-61.json,extended-career-match-count,"Elliot Vance: 274 matches, 357 wins, 261 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2060-61.json,extended-season-match-count,"Elliot Vance: {""season"":""2060/61"",""worldRank"":48,""oneYearRank"":36,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":67,""youthRank"":null,""matches"":12,""wins"":21,""losses"":13,""prizeMoney"":110950,""rankingPoints"":100700,""titles"":0,""proWins"":21,""proLosses"":12,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2061-62.json,extended-career-match-count,"Elliot Vance: 286 matches, 366 wins, 273 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2061-62.json,extended-season-match-count,"Elliot Vance: {""season"":""2061/62"",""worldRank"":50,""oneYearRank"":92,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":12,""wins"":9,""losses"":12,""prizeMoney"":37600,""rankingPoints"":29100,""titles"":0,""proWins"":9,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2062-63.json,extended-career-match-count,"Elliot Vance: 296 matches, 369 wins, 283 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2062-63.json,extended-season-match-count,"Elliot Vance: {""season"":""2062/63"",""worldRank"":103,""oneYearRank"":125,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":3,""losses"":10,""prizeMoney"":21100,""rankingPoints"":9350,""titles"":0,""proWins"":3,""proLosses"":10,""mainTourEvents"":10,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2063-64.json,extended-career-match-count,"Elliot Vance: 300 matches, 371 wins, 289 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2063-64.json,extended-season-match-count,"Elliot Vance: {""season"":""2063/64"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":203,""qTourRank"":188,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":2,""losses"":6,""prizeMoney"":0,""rankingPoints"":832,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Lost Card"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2064-65.json,extended-career-match-count,"Elliot Vance: 304 matches, 375 wins, 295 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2064-65.json,extended-season-match-count,"Elliot Vance: {""season"":""2064/65"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":50,""qTourRank"":433,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":4,""losses"":6,""prizeMoney"":0,""rankingPoints"":40,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2065-66.json,extended-career-match-count,"Elliot Vance: 308 matches, 377 wins, 301 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2065-66.json,extended-season-match-count,"Elliot Vance: {""season"":""2065/66"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":188,""qTourRank"":189,""qSchoolRank"":null,""seniorRank"":71,""youthRank"":null,""matches"":4,""wins"":2,""losses"":6,""prizeMoney"":0,""rankingPoints"":834,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2066-67.json,extended-career-match-count,"Elliot Vance: 312 matches, 378 wins, 307 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2066-67.json,extended-season-match-count,"Elliot Vance: {""season"":""2066/67"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":210,""qTourRank"":188,""qSchoolRank"":null,""seniorRank"":71,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":831,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2067-68.json,extended-career-match-count,"Elliot Vance: 316 matches, 379 wins, 313 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2067-68.json,extended-season-match-count,"Elliot Vance: {""season"":""2067/68"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":260,""qTourRank"":423,""qSchoolRank"":179,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2068-69.json,extended-career-match-count,"Elliot Vance: 322 matches, 379 wins, 321 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2068-69.json,extended-season-match-count,"Elliot Vance: {""season"":""2068/69"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":103,""qTourRank"":426,""qSchoolRank"":221,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2069-70.json,extended-career-match-count,"Elliot Vance: 326 matches, 379 wins, 327 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2069-70.json,extended-season-match-count,"Elliot Vance: {""season"":""2069/70"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":218,""qTourRank"":422,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":7,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2070-71.json,extended-career-match-count,"Elliot Vance: 330 matches, 379 wins, 333 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2070-71.json,extended-season-match-count,"Elliot Vance: {""season"":""2070/71"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":205,""qTourRank"":423,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2071-72.json,extended-career-match-count,"Elliot Vance: 334 matches, 379 wins, 339 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2071-72.json,extended-season-match-count,"Elliot Vance: {""season"":""2071/72"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":204,""qTourRank"":431,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2072-73.json,extended-career-match-count,"Elliot Vance: 338 matches, 379 wins, 345 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2072-73.json,extended-season-match-count,"Elliot Vance: {""season"":""2072/73"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":209,""qTourRank"":429,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2073-74.json,extended-career-match-count,"Elliot Vance: 344 matches, 379 wins, 353 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2073-74.json,extended-season-match-count,"Elliot Vance: {""season"":""2073/74"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":101,""qTourRank"":431,""qSchoolRank"":220,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2074-75.json,extended-career-match-count,"Elliot Vance: 350 matches, 379 wins, 361 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2074-75.json,extended-season-match-count,"Elliot Vance: {""season"":""2074/75"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":99,""qTourRank"":427,""qSchoolRank"":218,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2075-76.json,extended-career-match-count,"Elliot Vance: 354 matches, 379 wins, 367 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2075-76.json,extended-season-match-count,"Elliot Vance: {""season"":""2075/76"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":200,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":69,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2076-77.json,extended-career-match-count,"Elliot Vance: 358 matches, 379 wins, 373 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2076-77.json,extended-season-match-count,"Elliot Vance: {""season"":""2076/77"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":204,""qTourRank"":429,""qSchoolRank"":null,""seniorRank"":67,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2077-78.json,extended-career-match-count,"Elliot Vance: 362 matches, 379 wins, 379 losses"
artifacts\simulations\52-season-start-age-13-start-club-junior-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2077-78.json,extended-season-match-count,"Elliot Vance: {""season"":""2077/78"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":197,""qTourRank"":433,""qSchoolRank"":null,""seniorRank"":74,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 7 matches, 3 wins, 7 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":347,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":62,""matches"":7,""wins"":3,""losses"":7,""prizeMoney"":0,""rankingPoints"":10,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 12 matches, 4 wins, 12 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":172,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":107,""matches"":5,""wins"":1,""losses"":5,""prizeMoney"":0,""rankingPoints"":13,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 17 matches, 5 wins, 17 losses"
